state,county,bbox
NC,"Wayne County, NC","[-78.3065813, 35.148796, -77.799942, 35.59782]"
NC,"Wilkes County, NC","[-81.5454913, 35.9948363, -80.8687474, 36.44078]"
NC,"Wilson County, NC","[-78.1919334, 35.572868, -77.667999, 35.868408]"
NC,"Yadkin County, NC","[-80.8815946, 36.0465514, -80.4321205, 36.2879413]"
NC,"Yancey County, NC","[-82.5054293, 35.6986854, -82.1334882, 36.0846086]"
ND,"Adams County, ND","[-102.9955572, 45.944515, -101.9980482, 46.2831988]"
ND,"Barnes County, ND","[-98.468468, 46.629257, -97.683014, 47.241245]"
ND,"Benson County, ND","[-99.84938, 47.847679, -98.525406, 48.369663]"
ND,"Billings County, ND","[-103.671402, 46.630035, -103.030457, 47.330471]"
ND,"Bottineau County, ND","[-101.497154, 48.543018, -100.145706, 48.9996071]"
ND,"Bowman County, ND","[-104.046822, 45.945131, -102.9955348, 46.2806997]"
ND,"Burke County, ND","[-102.9400079, 48.54562, -102.022865, 48.999329]"
ND,"Burleigh County, ND","[-100.959602, 46.631634, -100.077675, 47.327194]"
ND,"Cass County, ND","[-97.707138, 46.6286363, -96.7528369, 47.240173]"
ND,"Cavalier County, ND","[-99.004013, 48.542667, -97.928001, 49.0004918]"
ND,"Dickey County, ND","[-99.005642, 45.935903, -98.006715, 46.283039]"
ND,"Divide County, ND","[-104.048949, 48.6331564, -102.8855502, 48.9998768]"
ND,"Dunn County, ND","[-103.0996912, 46.981487, -102.144234, 47.826435]"
ND,"Eddy County, ND","[-99.297455, 47.586639, -98.501762, 47.848072]"
ND,"Emmons County, ND","[-100.661606, 45.941672, -99.878265, 46.634357]"
ND,"Foster County, ND","[-99.268051, 47.326836, -98.499069, 47.588745]"
ND,"Golden Valley County, ND","[-104.045901, 46.5415003, -103.608826, 47.329918]"
ND,"Grand Forks County, ND","[-97.906654, 47.670643, -96.8850669, 48.19339]"
ND,"Grant County, ND","[-102.09391, 46.006866, -101.048958, 46.717266]"
ND,"Griggs County, ND","[-98.501862, 47.24017, -97.961044, 47.673798]"
ND,"Hettinger County, ND","[-102.927658, 46.2053457, -101.9980482, 46.630833]"
ND,"Kidder County, ND","[-100.116219, 46.63163, -99.447609, 47.327515]"
ND,"LaMoure County, ND","[-99.03749, 46.28263, -98.03348, 46.631226]"
ND,"Logan County, ND","[-99.917068, 46.281631, -99.036543, 46.631935]"
ND,"McHenry County, ND","[-101.0595356, 47.847046, -100.197189, 48.6323977]"
ND,"McIntosh County, ND","[-99.881958, 45.939944, -99.003118, 46.282996]"
ND,"McKenzie County, ND","[-104.045333, 47.3282709, -102.54937, 48.146687]"
ND,"McLean County, ND","[-102.386505, 47.157902, -100.58461, 47.849483]"
ND,"Mercer County, ND","[-102.207764, 46.9809, -101.256798, 47.575298]"
ND,"Morton County, ND","[-102.096992, 46.2753773, -100.543213, 46.982574]"
ND,"Mountrail County, ND","[-102.887115, 47.752499, -101.871482, 48.548298]"
ND,"Nelson County, ND","[-98.526131, 47.673416, -97.882614, 48.195007]"
ND,"Oliver County, ND","[-101.763672, 46.981815, -100.879517, 47.295284]"
ND,"Pembina County, ND","[-97.9528219, 48.541642, -97.0902671, 49.0005765]"
ND,"Pierce County, ND","[-100.277702, 47.846859, -99.493484, 48.543671]"
ND,"Ramsey County, ND","[-99.20327, 47.915009, -98.291519, 48.5436363]"
ND,"Ransom County, ND","[-98.034929, 46.281925, -97.2800936, 46.630727]"
ND,"Renville County, ND","[-102.0240515, 48.457825, -101.059334, 48.9994398]"
ND,"Richland County, ND","[-97.2809729, 45.935196, -96.5543975, 46.629612]"
ND,"Rolette County, ND","[-100.1828, 48.542305, -99.494171, 48.9993995]"
ND,"Sargent County, ND","[-98.0081322, 45.935054, -97.228291, 46.282665]"
ND,"Sheridan County, ND","[-100.673714, 47.326118, -100.03289, 47.84766]"
ND,"Sioux County, ND","[-101.9986992, 45.943642, -100.505638, 46.429294]"
ND,"Slope County, ND","[-104.046103, 46.279308, -102.9245272, 46.63102]"
ND,"Stark County, ND","[-103.231239, 46.630524, -102.093803, 47.012482]"
ND,"Steele County, ND","[-97.987823, 47.239353, -97.450417, 47.674175]"
ND,"Stutsman County, ND","[-99.48275, 46.628826, -98.439056, 47.327213]"
ND,"Towner County, ND","[-99.528814, 48.368828, -98.971245, 48.9999444]"
ND,"Traill County, ND","[-97.474495, 47.2381855, -96.8287641, 47.672203]"
ND,"Walsh County, ND","[-98.319572, 48.1922268, -97.1122183, 48.543312]"
ND,"Ward County, ND","[-102.235931, 47.846806, -100.968529, 48.806622]"
ND,"Wells County, ND","[-100.070503, 47.326698, -99.266922, 47.847847]"
ND,"Williams County, ND","[-104.048212, 47.954521, -102.828918, 48.6348614]"
OH,"Adams County, OH","[-83.7053446, 38.5964787, -83.2676317, 39.055172]"
OH,"Allen County, OH","[-84.397568, 40.642658, -83.8798396, 40.9204333]"
OH,"Ashland County, OH","[-82.4369371, 40.5547358, -82.125032, 41.0658668]"
OH,"Ashtabula County, OH","[-81.0053467, 41.4983393, -80.5193052, 42.3246919]"
OH,Ashtabula County,"[-81.0053467, 41.4983393, -80.5193052, 42.3246919]"
OH,"Athens County, OH","[-82.2984284, 39.1803103, -81.7219091, 39.5563851]"
OH,"Auglaize County, OH","[-84.45591, 40.3545836, -83.880093, 40.686062]"
OH,"Belmont County, OH","[-81.2372835, 39.849982, -80.702477, 40.1727524]"
OH,"Brown County, OH","[-84.0528363, 38.6395774, -83.6730938, 39.2541884]"
OH,"Butler County, OH","[-84.8193895, 39.2922864, -84.3320445, 39.5895383]"
OH,"Carroll County, OH","[-81.321724, 40.424664, -80.8606811, 40.729198]"
OH,"Champaign County, OH","[-84.0360537, 40.0111509, -83.4947925, 40.273459]"
OH,"Clark County, OH","[-84.053585, 39.7682275, -83.5116928, 40.04019]"
OH,"Clermont County, OH","[-84.3205332, 38.7702642, -83.9898963, 39.2708019]"
OH,"Clinton County, OH","[-84.0074591, 39.222841, -83.5762892, 39.5691593]"
OH,"Columbiana County, OH","[-81.087289, 40.58248, -80.518979, 40.9301296]"
OH,"Coshocton County, OH","[-82.1959148, 40.15172, -81.61647, 40.4564561]"
OH,"Crawford County, OH","[-83.1129, 40.702728, -82.724426, 40.9970229]"
OH,"Cuyahoga County, OH","[-81.9712504, 41.275044, -81.3747734, 42.1019009]"
OH,Cuyahoga County,"[-81.9712504, 41.275044, -81.3747734, 42.1019009]"
OH,"Darke County, OH","[-84.8125324, 39.916477, -84.4260871, 40.354549]"
OH,"Defiance County, OH","[-84.804133, 41.165359, -84.227539, 41.427921]"
OH,"Delaware County, OH","[-83.2496795, 40.1259323, -82.744931, 40.4439343]"
OH,"Erie County, OH","[-82.9535789, 41.283894, -82.342186, 41.7007801]"
OH,Erie County,"[-80.5210906, 41.8489744, -79.6099305, 42.5161334]"
OH,"Fairfield County, OH","[-82.8429374, 39.5543991, -82.3660635, 39.9410645]"
OH,"Fayette County, OH","[-83.6703303, 39.3773199, -83.2524876, 39.7169113]"
OH,"Franklin County, OH","[-83.2607262, 39.7949128, -82.7618137, 40.1428004]"
OH,"Fulton County, OH","[-84.3995361, 41.4857203, -83.877367, 41.7200821]"
OH,"Gallia County, OH","[-82.5827963, 38.5828238, -82.095482, 39.035206]"
OH,"Geauga County, OH","[-81.391945, 41.3473214, -81.0026796, 41.7147885]"
OH,"Greene County, OH","[-84.1141846, 39.5502549, -83.6477008, 39.850449]"
OH,"Guernsey County, OH","[-81.728584, 39.839176, -81.2258753, 40.222466]"
OH,"Hamilton County, OH","[-84.8203361, 39.0220695, -84.2563973, 39.3120806]"
OH,"Hancock County, OH","[-83.8811593, 40.817982, -83.420303, 41.168392]"
OH,"Hardin County, OH","[-83.8804246, 40.5040991, -83.4153578, 40.8199186]"
OH,"Harrison County, OH","[-81.339661, 40.159515, -80.865128, 40.4334027]"
OH,"Henry County, OH","[-84.341899, 41.166039, -83.8811593, 41.4876092]"
OH,"Highland County, OH","[-83.8721662, 39.018456, -83.3439564, 39.3787604]"
OH,"Hocking County, OH","[-82.748627, 39.361038, -82.159276, 39.6617276]"
OH,"Holmes County, OH","[-82.221153, 40.4439994, -81.6490756, 40.6684111]"
OH,"Huron County, OH","[-82.8414423, 40.9929002, -82.3366326, 41.2899592]"
OH,"Jackson County, OH","[-82.806946, 38.844383, -82.4247202, 39.20808]"
OH,"Jefferson County, OH","[-80.941765, 40.154804, -80.5961972, 40.599648]"
OH,"Knox County, OH","[-82.750747, 40.2390862, -82.178551, 40.573074]"
OH,"Lake County, OH","[-81.4886902, 41.5696704, -81.0025605, 42.246973]"
OH,Lake County,"[-123.0941684, 38.6676515, -122.3398198, 39.5815189]"
OH,"Lawrence County, OH","[-82.816017, 38.4031419, -82.2873365, 38.848846]"
OH,"Licking County, OH","[-82.7824362, 39.9132396, -82.1828428, 40.276996]"
OH,"Logan County, OH","[-84.014763, 40.2293562, -83.5200232, 40.5387522]"
OH,"Lorain County, OH","[-82.3617133, 41.0636052, -81.8769627, 41.8796877]"
OH,Lorain County,"[-82.3617133, 41.0636052, -81.8769627, 41.8796877]"
OH,"Lucas County, OH","[-83.8831869, 41.4142071, -83.0625572, 41.9593496]"
OH,Lucas County,"[-83.8831869, 41.4142071, -83.0625572, 41.9593496]"
OH,"Madison County, OH","[-83.6534334, 39.6954651, -83.206586, 40.1114808]"
OH,"Mahoning County, OH","[-81.086685, 40.8998154, -80.518979, 41.1344571]"
OH,"Marion County, OH","[-83.420265, 40.433795, -82.8583357, 40.7049268]"
OH,"Medina County, OH","[-82.173355, 40.98815, -81.684936, 41.277146]"
OH,"Meigs County, OH","[-82.3241278, 38.873869, -81.7421887, 39.205494]"
OH,"Mercer County, OH","[-84.804208, 40.351944, -84.4317056, 40.728148]"
OH,"Miami County, OH","[-84.4365588, 39.8798083, -84.023254, 40.199879]"
OH,"Monroe County, OH","[-81.3190996, 39.5397804, -80.821279, 39.8694825]"
OH,"Montgomery County, OH","[-84.48542, 39.5778694, -84.0510104, 39.9232291]"
OH,"Morgan County, OH","[-82.080048, 39.449047, -81.586258, 39.7709756]"
OH,"Morrow County, OH","[-83.0219679, 40.3451207, -82.623299, 40.7127035]"
OH,"Muskingum County, OH","[-82.2340546, 39.755653, -81.690811, 40.1666308]"
OH,"Noble County, OH","[-81.697586, 39.583107, -81.2341819, 39.953781]"
OH,"Ottawa County, OH","[-83.4158674, 41.45694, -82.6126829, 41.8604477]"
OH,"Paulding County, OH","[-84.8035816, 40.98925, -84.341576, 41.253502]"
OH,"Perry County, OH","[-82.4725632, 39.550198, -82.024452, 39.93038]"
OH,"Pickaway County, OH","[-83.2668082, 39.468062, -82.7315239, 39.8125402]"
OH,"Pike County, OH","[-83.385712, 38.948269, -82.7858804, 39.1977432]"
OH,"Portage County, OH","[-81.3933494, 40.987785, -81.00198, 41.3482652]"
OH,"Preble County, OH","[-84.8151357, 39.5672865, -84.4787826, 39.918423]"
OH,"Putnam County, OH","[-84.399193, 40.85907, -83.8804176, 41.1678308]"
OH,"Richland County, OH","[-82.7270548, 40.549997, -82.3367439, 40.9956743]"
OH,"Ross County, OH","[-83.3943714, 39.1678075, -82.7406851, 39.5159735]"
OH,"Sandusky County, OH","[-83.420059, 41.252878, -82.840225, 41.501189]"
OH,"Scioto County, OH","[-83.2708257, 38.570767, -82.649956, 39.015751]"
OH,"Seneca County, OH","[-83.42122, 40.9918622, -82.8295086, 41.256809]"
OH,"Shelby County, OH","[-84.4346764, 40.1838, -84.0018968, 40.4830865]"
OH,"Stark County, OH","[-81.6490903, 40.6345416, -81.0864342, 40.9887042]"
OH,"Summit County, OH","[-81.6884996, 40.9064965, -81.3916774, 41.351132]"
OH,"Trumbull County, OH","[-81.003367, 41.1333242, -80.5189601, 41.5014903]"
OH,"Tuscarawas County, OH","[-81.7123361, 40.21442, -81.264259, 40.665722]"
OH,"Union County, OH","[-83.551329, 40.1069615, -83.1698499, 40.5071313]"
OH,"Van Wert County, OH","[-84.8032845, 40.684944, -84.340485, 40.990257]"
OH,"Vinton County, OH","[-82.762924, 39.028297, -82.2601426, 39.396015]"
OH,"Warren County, OH","[-84.3652334, 39.2551271, -83.9769126, 39.5894696]"
OH,"Washington County, OH","[-81.8535411, 39.2157467, -81.0369611, 39.64566]"
OH,"Wayne County, OH","[-82.1293327, 40.66695, -81.6476394, 40.9918191]"
OH,"Williams County, OH","[-84.8059801, 41.4260353, -84.341659, 41.7058412]"
OH,"Wood County, OH","[-83.883736, 41.166275, -83.414703, 41.6191209]"
OH,"Wyandot County, OH","[-83.515816, 40.6868142, -83.111, 40.993408]"
OK,"Adair County, OK","[-94.8077472, 35.638138, -94.4728205, 36.162334]"
OK,"Alfalfa County, OK","[-98.5449316, 36.4631934, -98.1043562, 36.9988625]"
OK,"Atoka County, OK","[-96.4076539, 34.1566475, -95.6716484, 34.6804454]"
OK,"Beaver County, OK","[-100.9542889, 36.4998507, -100.0026108, 37.0022994]"
OK,"Beckham County, OK","[-100.00045, 35.0296224, -99.3601381, 35.5088327]"
OK,"Blaine County, OK","[-98.6367118, 35.5513425, -98.2072329, 36.1656651]"
OK,"Bryan County, OK","[-96.6292917, 33.686667, -95.7514718, 34.1574114]"
OK,"Caddo County, OK","[-98.6238673, 34.8550087, -98.0912375, 35.551566]"
OK,"Canadian County, OK","[-98.3134549, 35.3208899, -97.6707652, 35.7259831]"
OK,"Carter County, OK","[-97.5626566, 34.0709076, -96.9333689, 34.5069815]"
OK,"Cherokee County, OK","[-95.2827796, 35.6386014, -94.7971456, 36.1618419]"
OK,"Choctaw County, OK","[-95.9912055, 33.8629341, -95.1558837, 34.157009]"
OK,"Cimarron County, OK","[-103.0024413, 36.5002239, -102.0280596, 37.0000868]"
OK,"Cleveland County, OK","[-97.6714355, 34.9277376, -97.1414782, 35.3773681]"
OK,"Coal County, OK","[-96.5137999, 34.418255, -96.0920918, 34.7675]"
OK,"Comanche County, OK","[-98.8263482, 34.405948, -98.088928, 34.8554891]"
OK,"Cotton County, OK","[-98.6620034, 34.0621116, -98.139134, 34.5071505]"
OK,"Craig County, OK","[-95.4318487, 36.5099415, -94.9991829, 36.99958]"
OK,"Creek County, OK","[-96.6231204, 35.6388071, -96.0294482, 36.164383]"
OK,"Custer County, OK","[-99.3770467, 35.4643829, -98.6232035, 35.8126763]"
OK,"Delaware County, OK","[-95.0115032, 36.161192, -94.5627309, 36.6707369]"
OK,"Dewey County, OK","[-99.3820005, 35.811949, -98.6320272, 36.1648635]"
OK,"Ellis County, OK","[-100.0036852, 35.839958, -99.380577, 36.5933146]"
OK,"Garfield County, OK","[-98.1045623, 36.1644314, -97.4605062, 36.5935228]"
OK,"Garvin County, OK","[-97.6685267, 34.5066167, -96.932453, 34.8553276]"
OK,"Grady County, OK","[-98.096014, 34.6812157, -97.668144, 35.377753]"
OK,"Grant County, OK","[-98.1116574, 36.5934102, -97.4621978, 36.99909]"
OK,"Greer County, OK","[-99.8882704, 34.7246337, -99.2466265, 35.1169835]"
OK,"Harmon County, OK","[-100.0003973, 34.506981, -99.6664221, 35.029993]"
OK,"Harper County, OK","[-100.004417, 36.5931598, -99.2948915, 37.0017709]"
OK,"Haskell County, OK","[-95.4553373, 35.0574106, -94.8141719, 35.457924]"
OK,"Hughes County, OK","[-96.4908035, 34.7667693, -95.9812932, 35.2901425]"
OK,"Jackson County, OK","[-99.8444345, 34.3335222, -99.0370265, 34.8595548]"
OK,"Jefferson County, OK","[-98.1391823, 33.8499903, -97.5365458, 34.2898997]"
OK,"Johnston County, OK","[-96.9335418, 34.114164, -96.4069348, 34.5061688]"
OK,"Kay County, OK","[-97.463066, 36.593277, -96.7531718, 36.999233]"
OK,"Kingfisher County, OK","[-98.212067, 35.7250919, -97.6739925, 36.165007]"
OK,"Kiowa County, OK","[-99.4047651, 34.594402, -98.6197798, 35.1247043]"
OK,"Latimer County, OK","[-95.5146152, 34.6806021, -94.927567, 35.0584165]"
OK,"Le Flore County, OK","[-95.0599652, 34.5071753, -94.4315526, 35.3897628]"
OK,"Lincoln County, OK","[-97.1417307, 35.4627394, -96.6194146, 35.9422788]"
OK,"Logan County, OK","[-97.67646, 35.7243799, -97.1404832, 36.1647165]"
OK,"Love County, OK","[-97.5610709, 33.7178093, -96.9347222, 34.0711769]"
OK,"McClain County, OK","[-97.670981, 34.8546151, -96.9307101, 35.3335737]"
OK,"McCurtain County, OK","[-95.1565338, 33.6191533, -94.4611864, 34.5074415]"
OK,"McIntosh County, OK","[-95.9832914, 35.1416142, -95.344505, 35.551968]"
OK,"Major County, OK","[-98.9606397, 36.161251, -98.1036398, 36.5071006]"
OK,"Marshall County, OK","[-96.9697977, 33.8244444, -96.5474776, 34.1728005]"
OK,"Mayes County, OK","[-95.4401261, 36.074544, -95.0055829, 36.510425]"
OK,"Murray County, OK","[-97.352221, 34.3323549, -96.8271863, 34.6371291]"
OK,"Muskogee County, OK","[-95.766265, 35.262104, -95.050568, 35.857662]"
OK,"Noble County, OK","[-97.461713, 36.1592183, -96.886566, 36.600075]"
OK,"Nowata County, OK","[-95.8099503, 36.5974939, -95.4075825, 36.9993611]"
OK,"Okfuskee County, OK","[-96.6248958, 35.2897168, -95.9812932, 35.6392371]"
OK,"Oklahoma County, OK","[-97.6740183, 35.3768782, -97.1410425, 35.7259831]"
OK,"Okmulgee County, OK","[-96.1927315, 35.3766908, -95.712593, 35.8570882]"
OK,"Osage County, OK","[-97.067009, 36.1607937, -96.0004616, 36.999286]"
OK,"Ottawa County, OK","[-95.0372365, 36.6676894, -94.6179498, 36.999529]"
OK,"Pawnee County, OK","[-97.0321422, 36.158886, -96.242847, 36.5653174]"
OK,"Payne County, OK","[-97.355606, 35.9414726, -96.621166, 36.2465837]"
OK,"Pittsburg County, OK","[-96.0922009, 34.593525, -95.348778, 35.300629]"
OK,"Pontotoc County, OK","[-96.9325111, 34.5054815, -96.4061077, 34.9658162]"
OK,"Pottawatomie County, OK","[-97.1421829, 34.8973719, -96.6238298, 35.4640125]"
OK,"Pushmataha County, OK","[-95.7793706, 34.1566429, -94.9375954, 34.6812806]"
OK,"Roger Mills County, OK","[-100.000398, 35.4213716, -99.3641731, 36.017044]"
OK,"Rogers County, OK","[-95.8154587, 36.0751581, -95.3282481, 36.5975717]"
OK,"Seminole County, OK","[-96.7769981, 34.8555511, -96.4412179, 35.468662]"
OK,"Sequoyah County, OK","[-95.1323282, 35.290417, -94.4312145, 35.6387228]"
OK,"Stephens County, OK","[-98.1421153, 34.289104, -97.562012, 34.6816855]"
OK,"Texas County, OK","[-102.0322724, 36.4996022, -100.9455299, 36.9983989]"
OK,"Tillman County, OK","[-99.2381351, 34.1178373, -98.6096327, 34.638015]"
OK,"Tulsa County, OK","[-96.2979345, 35.8561134, -95.7615724, 36.423686]"
OK,"Wagoner County, OK","[-95.8194323, 35.766857, -95.2077448, 36.1625153]"
OK,"Washington County, OK","[-96.001085, 36.4234899, -95.786676, 36.999336]"
OK,"Washita County, OK","[-99.3646914, 35.0971321, -98.6180066, 35.4655475]"
OK,"Woods County, OK","[-99.4558434, 36.3908443, -98.5331695, 37.0000504]"
OK,"Woodward County, OK","[-99.6058114, 36.1613416, -98.9557669, 36.8193304]"
OR,"Baker County, OR","[-118.519958, 44.255084, -116.783902, 45.081082]"
OR,"Benton County, OR","[-123.816429, 44.276564, -123.073132, 44.721296]"
OR,"Clackamas County, OR","[-122.8679985, 44.8857083, -121.6514878, 45.4616701]"
OR,"Clatsop County, OR","[-124.1568543, 45.7733304, -123.358746, 46.2923948]"
OR,Clatsop County,"[-124.1568543, 45.7733304, -123.358746, 46.2923948]"
OR,"Columbia County, OR","[-123.3674383, 45.721253, -122.7601196, 46.1889437]"
OR,"Coos County, OR","[-124.552282, 42.666379, -123.7015606, 43.6114494]"
OR,Coos County,"[-124.552282, 42.666379, -123.7015606, 43.6114494]"
OR,"Crook County, OR","[-121.108639, 43.697484, -119.654887, 44.563954]"
OR,"Curry County, OR","[-124.703541, 41.995445, -123.7164943, 42.9553979]"
OR,Curry County,"[-124.703541, 41.995445, -123.7164943, 42.9553979]"
OR,"Deschutes County, OR","[-122.0025141, 43.611057, -119.8965796, 44.3934732]"
OR,"Douglas County, OR","[-124.290327, 42.699249, -121.9742916, 43.945131]"
OR,Douglas County,"[-88.473182, 39.651588, -87.935905, 39.8802212]"
OR,"Gilliam County, OR","[-120.6535115, 45.065163, -119.75769, 45.8135126]"
OR,"Grant County, OR","[-119.671987, 43.957418, -118.2234907, 44.998174]"
OR,"Harney County, OR","[-119.943888, 41.991794, -118.195361, 44.047775]"
OR,"Hood River County, OR","[-121.9222711, 45.257734, -121.440577, 45.7265075]"
OR,"Jackson County, OR","[-123.2313434, 42.0031197, -122.2827384, 42.996618]"
OR,"Jefferson County, OR","[-121.8494564, 44.3902714, -120.371408, 44.8254802]"
OR,"Josephine County, OR","[-124.0419826, 41.9950959, -123.227808, 42.7840844]"
OR,"Klamath County, OR","[-122.290351, 41.9930239, -120.879318, 43.616714]"
OR,"Lake County, OR","[-121.351222, 41.993012, -119.359397, 43.617607]"
OR,"Lane County, OR","[-124.230231, 43.437142, -121.7680616, 44.290548]"
OR,Lane County,"[-100.688202, 38.2623015, -100.244421, 38.703697]"
OR,"Lincoln County, OR","[-124.187674, 44.2750836, -123.598442, 45.0457665]"
OR,Lincoln County,"[-81.5375995, 35.4000852, -80.9396686, 35.5700835]"
OR,"Linn County, OR","[-123.260836, 44.199846, -121.793747, 44.7943356]"
OR,"Malheur County, OR","[-118.233641, 41.9969951, -116.8938015, 44.444461]"
OR,"Marion County, OR","[-123.1807212, 44.68394, -121.7333453, 45.285091]"
OR,"Morrow County, OR","[-120.008331, 44.993525, -119.148201, 45.925479]"
OR,"Multnomah County, OR","[-122.9292062, 45.4326318, -121.8196686, 45.7286477]"
OR,"Polk County, OR","[-123.726073, 44.719441, -123.0369339, 45.0762268]"
OR,"Sherman County, OR","[-121.0307368, 45.08295, -120.357689, 45.7371874]"
OR,"Tillamook County, OR","[-124.0957472, 45.0444187, -123.2992703, 45.7835966]"
OR,Tillamook County,"[-124.0957472, 45.0444187, -123.2992703, 45.7835966]"
OR,"Umatilla County, OR","[-119.435493, 44.995887, -117.972922, 46.001058]"
OR,"Union County, OR","[-118.697684, 44.9563636, -117.266295, 45.861186]"
OR,"Wallowa County, OR","[-117.9777658, 45.079022, -116.4631465, 46.0007319]"
OR,"Wasco County, OR","[-121.8055341, 44.8215883, -120.3714542, 45.7048433]"
OR,"Washington County, OR","[-123.4860593, 45.3171967, -122.742505, 45.7801553]"
OR,"Wheeler County, OR","[-120.495648, 44.306662, -119.6524069, 45.06875]"
OR,"Yamhill County, OR","[-123.785491, 45.0736464, -122.8497598, 45.434357]"
MD,"Allegany County, MD","[-79.066928, 39.4382856, -78.3133092, 39.7230286]"
MD,"Anne Arundel County, MD","[-76.8403258, 38.7092515, -76.3485793, 39.2371116]"
MD,Anne Arundel County,"[-76.8403258, 38.7092515, -76.3485793, 39.2371116]"
MD,"Baltimore County, MD","[-76.8965564, 39.1516844, -76.2714907, 39.7211988]"
MD,"Calvert County, MD","[-76.7020072, 38.3057381, -76.3217198, 38.7692981]"
MD,Calvert County,"[-76.7020072, 38.3057381, -76.3217198, 38.7692981]"
MD,"Caroline County, MD","[-76.0150004, 38.6353837, -75.7074968, 39.1434684]"
MD,"Carroll County, MD","[-77.3116351, 39.3483616, -76.7886782, 39.7207756]"
MD,"Cecil County, MD","[-76.2329069, 39.3607145, -75.7665914, 39.7222006]"
MD,"Charles County, MD","[-77.3235261, 38.171328, -76.6624791, 38.7072682]"
MD,Charles County,"[-77.3235261, 38.171328, -76.6624791, 38.7072682]"
MD,"Dorchester County, MD","[-76.436656, 38.0589516, -75.7015714, 38.7040859]"
MD,Dorchester County,"[-76.436656, 38.0589516, -75.7015714, 38.7040859]"
MD,"Frederick County, MD","[-77.6773622, 39.2200945, -77.1067251, 39.720028]"
MD,"Garrett County, MD","[-79.4873055, 39.2019282, -78.9284278, 39.7227791]"
MD,"Harford County, MD","[-76.5694525, 39.2580093, -76.0356404, 39.7212078]"
MD,"Howard County, MD","[-77.1869771, 39.1030575, -76.696357, 39.3695356]"
MD,"Kent County, MD","[-76.3511353, 38.9902203, -75.7559684, 39.4054487]"
MD,Kent County,"[-101.0388436, 32.962932, -100.517449, 33.3990719]"
MD,"Montgomery County, MD","[-77.527376, 38.9343511, -76.8876605, 39.354324]"
MD,"Prince George's County, MD","[-77.0829987, 38.5354768, -76.6692877, 39.1318952]"
MD,"Queen Anne's County, MD","[-76.4418766, 38.8034458, -75.7476737, 39.2619412]"
MD,Queen Anne's County,"[-76.4418766, 38.8034458, -75.7476737, 39.2619412]"
MD,"St. Mary's County, MD","[-76.874351, 37.8903097, -76.1996681, 38.5137064]"
MD,"Somerset County, MD","[-76.2366082, 37.8865288, -75.5395838, 38.299041]"
MD,Somerset County,"[-79.4177842, 39.7214198, -78.658409, 40.285374]"
MD,"Talbot County, MD","[-76.4598456, 38.5705719, -75.8959622, 38.9450329]"
MD,Talbot County,"[-84.703163, 32.5184841, -84.286246, 32.883595]"
MD,"Washington County, MD","[-78.3633135, 39.318292, -77.46907, 39.7225773]"
MD,"Wicomico County, MD","[-75.9437322, 38.215803, -75.3066909, 38.5606646]"
MD,"Worcester County, MD","[-75.6617692, 37.994275, -74.9852049, 38.4520375]"
MD,Worcester County,"[-72.315879, 42.008053, -71.4780275, 42.7215898]"
MA,"Barnstable County, MA","[-70.7606313, 41.4804435, -69.8601042, 42.1336459]"
MA,Barnstable County,"[-70.7606313, 41.4804435, -69.8601042, 42.1336459]"
MA,"Berkshire County, MA","[-73.5082102, 42.0398159, -72.9488438, 42.745853]"
MA,"Bristol County, MA","[-71.381463, 41.4111505, -70.7560271, 42.095539]"
MA,Bristol County,"[-71.381463, 41.4111505, -70.7560271, 42.095539]"
MA,"Dukes County, MA","[-71.0409389, 41.1988894, -70.3251696, 41.5621791]"
MA,Dukes County,"[-71.0409389, 41.1988894, -70.3251696, 41.5621791]"
MA,"Essex County, MA","[-71.2561879, 42.3842851, -70.4990053, 42.8867783]"
MA,Essex County,"[-74.338539, 43.744668, -73.2933822, 44.5469025]"
MA,"Franklin County, MA","[-73.0237094, 42.3032833, -72.2249326, 42.7411379]"
MA,"Hampden County, MA","[-73.0750864, 41.9976982, -72.1350106, 42.3438605]"
MA,"Hampshire County, MA","[-73.0685085, 42.1833902, -72.2032814, 42.5560372]"
MA,"Middlesex County, MA","[-71.8987719, 42.1567825, -71.0203778, 42.736474]"
MA,Nantucket County,"[-70.3973559, 41.1888589, -69.8936439, 41.4433863]"
MA,"Norfolk County, MA","[-71.5030779, 41.9850832, -70.7384338, 42.3517551]"
MA,"Plymouth County, MA","[-71.0804832, 41.5665119, -70.4560544, 42.3536042]"
MA,Plymouth County,"[-96.6397162, 42.5606243, -95.858548, 42.910336]"
MA,"Suffolk County, MA","[-71.1912442, 42.2279112, -70.8044881, 42.4501176]"
MA,Suffolk County,"[-73.497017, 40.556615, -71.790972, 41.310549]"
MA,"Worcester County, MA","[-72.315879, 42.008053, -71.4780275, 42.7215898]"
MI,"Alcona County, MI","[-83.8884586, 44.508799, -83.2695605, 44.8595152]"
MI,Alcona County,"[-83.8884586, 44.508799, -83.2695605, 44.8595152]"
MI,"Alger County, MI","[-87.1165175, 46.1584974, -85.8644473, 46.6906395]"
MI,Alger County,"[-87.1165175, 46.1584974, -85.8644473, 46.6906395]"
MI,"Allegan County, MI","[-86.2737842, 42.4188488, -85.5430499, 42.7689375]"
MI,Allegan County,"[-86.2737842, 42.4188488, -85.5430499, 42.7689375]"
MI,"Alpena County, MI","[-83.8904871, 44.8564917, -83.1903213, 45.207129]"
